Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[sex]	Characteristics[genotype]	Characteristics[individual]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[sampling site]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[developmental stage]	Factor Value[sampling site]
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L002_R1_001.fastq.gz	E11-5-2-5V_S1_L002_R1_001.fastq.gz	ERR4436701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436701/ERR4436701_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L002_R2_001.fastq.gz	E11-5-2-5V_S1_L002_R2_001.fastq.gz	ERR4436701	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436701/ERR4436701_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L003_R1_001.fastq.gz	E11-5-2-5V_S1_L003_R1_001.fastq.gz	ERR4436702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436702/ERR4436702_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L003_R2_001.fastq.gz	E11-5-2-5V_S1_L003_R2_001.fastq.gz	ERR4436702	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436702/ERR4436702_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L004_R1_001.fastq.gz	E11-5-2-5V_S1_L004_R1_001.fastq.gz	ERR4436703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436703/ERR4436703_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 2.5 V	ERS4932188	SAMEA7171744	Mus musculus	C57BL/6	not available	wild type genotype	2.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 2.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 2.5 V	sequencing assay	ERX4377236	E11-5-2-5V_S1_L004_R2_001.fastq.gz	E11-5-2-5V_S1_L004_R2_001.fastq.gz	ERR4436703	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436703/ERR4436703_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L001_R1_001.fastq.gz	E11-5-6-5D_S4_L001_R1_001.fastq.gz	ERR4436704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436704/ERR4436704_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L001_R2_001.fastq.gz	E11-5-6-5D_S4_L001_R2_001.fastq.gz	ERR4436704	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436704/ERR4436704_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L002_R1_001.fastq.gz	E11-5-6-5D_S4_L002_R1_001.fastq.gz	ERR4436705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436705/ERR4436705_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L002_R2_001.fastq.gz	E11-5-6-5D_S4_L002_R2_001.fastq.gz	ERR4436705	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/005/ERR4436705/ERR4436705_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L003_R1_001.fastq.gz	E11-5-6-5D_S4_L003_R1_001.fastq.gz	ERR4436706	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436706/ERR4436706_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L003_R2_001.fastq.gz	E11-5-6-5D_S4_L003_R2_001.fastq.gz	ERR4436706	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/006/ERR4436706/ERR4436706_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L004_R1_001.fastq.gz	E11-5-6-5D_S4_L004_R1_001.fastq.gz	ERR4436707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436707/ERR4436707_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 D	ERS4932189	SAMEA7171745	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 D	sequencing assay	ERX4377237	E11-5-6-5D_S4_L004_R2_001.fastq.gz	E11-5-6-5D_S4_L004_R2_001.fastq.gz	ERR4436707	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/007/ERR4436707/ERR4436707_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L001_R1_001.fastq.gz	E11-5-6-5V_S3_L001_R1_001.fastq.gz	ERR4436708	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436708/ERR4436708_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L001_R2_001.fastq.gz	E11-5-6-5V_S3_L001_R2_001.fastq.gz	ERR4436708	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/008/ERR4436708/ERR4436708_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L002_R1_001.fastq.gz	E11-5-6-5V_S3_L002_R1_001.fastq.gz	ERR4436709	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436709/ERR4436709_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L002_R2_001.fastq.gz	E11-5-6-5V_S3_L002_R2_001.fastq.gz	ERR4436709	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/009/ERR4436709/ERR4436709_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L003_R1_001.fastq.gz	E11-5-6-5V_S3_L003_R1_001.fastq.gz	ERR4436710	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436710/ERR4436710_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L003_R2_001.fastq.gz	E11-5-6-5V_S3_L003_R2_001.fastq.gz	ERR4436710	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/000/ERR4436710/ERR4436710_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L004_R1_001.fastq.gz	E11-5-6-5V_S3_L004_R1_001.fastq.gz	ERR4436711	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436711/ERR4436711_1.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 6.5 V	ERS4932190	SAMEA7171746	Mus musculus	C57BL/6	not available	wild type genotype	6.5	embryonic day 11.5	eye primordium	optic fissure margins	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 6.5 V	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 6.5 V	sequencing assay	ERX4377238	E11-5-6-5V_S3_L004_R2_001.fastq.gz	E11-5-6-5V_S3_L004_R2_001.fastq.gz	ERR4436711	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/001/ERR4436711/ERR4436711_2.fastq.gz	embryonic day 11.5	optic fissure margins
E11.5 9.4 D	ERS4932191	SAMEA7171747	Mus musculus	C57BL/6	not available	wild type genotype	9.4	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 9.4 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 9.4 D	sequencing assay	ERX4377239	E11-5-9-4D_S6_L001_R1_001.fastq.gz	E11-5-9-4D_S6_L001_R1_001.fastq.gz	ERR4436712	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436712/ERR4436712_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 9.4 D	ERS4932191	SAMEA7171747	Mus musculus	C57BL/6	not available	wild type genotype	9.4	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 9.4 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 9.4 D	sequencing assay	ERX4377239	E11-5-9-4D_S6_L001_R2_001.fastq.gz	E11-5-9-4D_S6_L001_R2_001.fastq.gz	ERR4436712	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/002/ERR4436712/ERR4436712_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 9.4 D	ERS4932191	SAMEA7171747	Mus musculus	C57BL/6	not available	wild type genotype	9.4	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 9.4 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 9.4 D	sequencing assay	ERX4377239	E11-5-9-4D_S6_L002_R1_001.fastq.gz	E11-5-9-4D_S6_L002_R1_001.fastq.gz	ERR4436713	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436713/ERR4436713_1.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 9.4 D	ERS4932191	SAMEA7171747	Mus musculus	C57BL/6	not available	wild type genotype	9.4	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 9.4 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 9.4 D	sequencing assay	ERX4377239	E11-5-9-4D_S6_L002_R2_001.fastq.gz	E11-5-9-4D_S6_L002_R2_001.fastq.gz	ERR4436713	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/003/ERR4436713/ERR4436713_2.fastq.gz	embryonic day 11.5	dorsal optic cup
E11.5 9.4 D	ERS4932191	SAMEA7171747	Mus musculus	C57BL/6	not available	wild type genotype	9.4	embryonic day 11.5	eye primordium	dorsal optic cup	organism part	P-MTAB-99917	P-MTAB-99918	P-MTAB-99919	E11.5 9.4 D	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	130	75	P-MTAB-99920	UCL Genomics	E11.5 9.4 D	sequencing assay	ERX4377239	E11-5-9-4D_S6_L003_R1_001.fastq.gz	E11-5-9-4D_S6_L003_R1_001.fastq.gz	ERR4436714	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR443/004/ERR4436714/ERR4436714_1.fastq.gz	embryonic day 11.5	dorsal optic cup
